# title,char,reading(按篇目逐字覆盖多音字)
静夜思,疑,yí
古朗月行,行,xíng
登鹳雀楼,尽,jìn
游子吟,缝,féng
游子吟,子,zǐ
绝句,行,háng
绝句,泊,bó
绝句,子,zǐ
早发白帝城,朝,zhāo
早发白帝城,还,huán
早发白帝城,重,chóng
咏柳,似,sì
回乡偶书,少,shào
黄鹤楼送孟浩然之广陵,长,cháng
黄鹤楼送孟浩然之广陵,尽,jìn
小儿垂钓,应,yìng
小儿垂钓,子,zǐ
寻隐者不遇,子,zǐ
出塞,还,huán
出塞,将,jiàng
出塞,长,cháng
九月九日忆山东兄弟,为,wéi
送元二使安西,朝,zhāo
送元二使安西,舍,shè
送元二使安西,尽,jìn
长歌行,朝,zhāo
长歌行,少,shào
饮湖上初晴后雨,子,zǐ
四时田园杂兴,子,zǐ
四时田园杂兴,供,gòng
四时田园杂兴,种,zhòng
闻官军收河南河北,子,zǐ
闻官军收河南河北,裳,cháng
乡村四月,子,zǐ
乡村四月,了,liǎo
三衢道中,子,zǐ
三衢道中,尽,jìn
敕勒歌,勒,lè
敕勒歌,似,sì
敕勒歌,笼,lǒng
敕勒歌,见,xiàn
赠刘景文,尽,jìn
己亥杂诗,重,chóng
游山西村,重,chóng
清平乐·村居,发,fà
清平乐·村居,亡,wú
西江月·夜行黄沙道中,见,xiàn
如梦令,兴,xìng
如梦令,尽,jìn
夏日绝句,为,wéi
泊船瓜洲,重,chóng
泊船瓜洲,还,huán
蜂,尽,jìn
秋夜将晓出篱门迎凉有感,尽,jìn
观书有感,那,nǎ
